class,x1,y1,x2,y2,xmax,ymax
0,89,63,1479,720,1534,851
0,113,185,1305,352,1534,851
0,106,377,1172,524,1534,851
0,110,550,1340,698,1534,851
1,107,140,107,140,1534,851
1,107,83,367,136,1534,851
1,121,210,438,283,1534,851
1,118,406,377,473,1534,851
1,118,566,469,635,1534,851
2,357,180,357,180,1534,851
2,109,87,362,136,1534,851
2,124,214,221,243,1534,851
2,222,247,351,214,1534,851
2,351,214,432,243,1534,851
2,125,245,256,274,1534,851
2,259,280,430,247,1534,851
2,557,207,670,245,1534,851
2,670,245,792,214,1534,851
2,792,214,861,242,1534,851
2,861,242,921,211,1534,851
2,921,211,1044,246,1534,851
2,1044,246,1181,215,1534,851
2,1181,215,1212,244,1534,851
2,1212,244,1300,215,1534,851
2,599,248,692,279,1534,851
2,692,279,744,244,1534,851
2,744,244,810,275,1534,851
2,810,275,924,244,1534,851
2,924,244,959,274,1534,851
2,959,274,1101,246,1534,851
2,597,279,630,307,1534,851
2,632,311,697,278,1534,851
2,697,278,744,308,1534,851
2,742,308,808,278,1534,851
2,922,278,959,309,1534,851
2,959,309,1023,279,1534,851
2,1023,279,1072,309,1534,851
2,1072,309,1136,274,1534,851
2,597,314,808,342,1534,851
2,125,441,227,409,1534,851
2,227,409,367,439,1534,851
2,126,442,181,471,1534,851
2,181,471,278,443,1534,851
2,126,570,223,600,1534,851
2,225,600,388,572,1534,851
2,388,572,465,600,1534,851
2,126,604,260,632,1534,851
2,263,632,437,606,1534,851
2,561,410,669,441,1534,851
2,669,441,811,407,1534,851
2,811,407,947,443,1534,851
2,947,443,1039,407,1534,851
2,1039,407,1151,440,1534,851
2,595,440,633,473,1534,851
2,632,473,698,442,1534,851
2,698,442,744,469,1534,851
2,744,469,808,438,1534,851
2,592,473,827,502,1534,851
2,555,571,673,602,1534,851
2,673,602,795,569,1534,851
2,795,569,864,603,1534,851
2,864,603,926,569,1534,851
2,926,569,1051,601,1534,851
2,1051,601,1051,601,1534,851
2,1051,601,1184,572,1534,851
2,1184,572,1213,599,1534,851
2,1213,599,1304,573,1534,851
2,598,605,692,634,1534,851
2,692,634,744,604,1534,851
2,744,604,810,634,1534,851
2,810,634,927,601,1534,851
2,927,601,959,633,1534,851
2,959,633,1097,604,1534,851
2,601,637,630,667,1534,851
2,630,667,694,638,1534,851
2,694,638,742,664,1534,851
2,743,665,808,636,1534,851
2,925,634,957,669,1534,851
2,957,669,1023,635,1534,851
2,1024,635,1069,665,1534,851
2,1069,665,1132,631,1534,851
2,593,667,800,697,1534,851
3,298,297,298,297,1534,851
3,552,246,1104,271,1534,851
3,555,279,803,311,1534,851
3,551,311,813,341,1534,851
3,880,279,1139,308,1534,851
3,559,441,805,468,1534,851
3,558,471,821,501,1534,851
3,544,599,1099,632,1534,851
3,544,634,808,660,1534,851
3,808,662,552,696,1534,851
3,878,636,1134,666,1534,851
